parent_species,baby_species
Bulbasaur,Bulbasaur
Ivysaur,Bulbasaur
Venusaur,Bulbasaur
Charmander,Charmander
Charmeleon,Charmander
Charizard,Charmander
Squirtle,Squirtle
Wartortle,Squirtle
Blastoise,Squirtle
Caterpie,Caterpie
Metapod,Caterpie
Butterfree,Caterpie
Weedle,Weedle
Kakuna,Weedle
Beedrill,Weedle
Pidgey,Pidgey
Pidgeotto,Pidgey
Pidgeot,Pidgey
Rattata,Rattata
Raticate,Rattata
Spearow,Spearow
Fearow,Spearow
Ekans,Ekans
Arbok,Ekans
Pikachu,Pichu
Raichu,Pichu
Sandshrew,Sandshrew
Sandslash,Sandshrew
Nidoran♀,Nidoran♀
Nidorina,Nidoran♀
Nidoqueen,Nidoran♀
Nidoran♂,Nidoran♂
Nidorino,Nidoran♂
Nidoking,Nidoran♂
Clefairy,Clefairy
Clefable,Clefairy
Vulpix,Vulpix
Ninetales,Vulpix
Jigglypuff,Jigglypuff
Wigglytuff,Jigglypuff
Zubat,Zubat
Golbat,Zubat
Oddish,Oddish
Gloom,Oddish
Vileplume,Oddish
Paras,Paras
Parasect,Paras
Venonat,Venonat
Venomoth,Venonat
Diglett,Diglett
Dugtrio,Diglett
Meowth,Meowth
Persian,Meowth
Psyduck,Psyduck
Golduck,Psyduck
Mankey,Mankey
Primeape,Mankey
Growlithe,Growlithe
Arcanine,Growlithe
Poliwag,Poliwag
Poliwhirl,Poliwag
Poliwrath,Poliwag
Abra,Abra
Kadabra,Abra
Alakazam,Abra
Machop,Machop
Machoke,Machop
Machamp,Machop
Bellsprout,Bellsprout
Weepinbell,Bellsprout
Victreebel,Bellsprout
Tentacool,Tentacool
Tentacruel,Tentacool
Geodude,Geodude
Graveler,Geodude
Golem,Geodude
Ponyta,Ponyta
Rapidash,Ponyta
Slowpoke,Slowpoke
Slowbro,Slowpoke
Magnemite,Magnemite
Magneton,Magnemite
Farfetch'd,Farfetch'd
Doduo,Doduo
Dodrio,Doduo
Seel,Seel
